round,numLabeled,accuracy,method,framework
0,10,0.5349000096321106,TPCRP,Framework2
1,20,0.6410999894142151,TPCRP,Framework2
2,30,0.6556000113487244,TPCRP,Framework2
3,40,0.6699000000953674,TPCRP,Framework2
4,50,0.6694999933242798,TPCRP,Framework2
5,60,0.6793000102043152,TPCRP,Framework2
0,10,0.384799987077713,Random,Framework2
1,20,0.5309000015258789,Random,Framework2
2,30,0.6065999865531921,Random,Framework2
3,40,0.6302000284194946,Random,Framework2
4,50,0.64410001039505,Random,Framework2
5,60,0.6467999815940857,Random,Framework2
0,10,0.3774000108242035,Margin,Framework2
1,20,0.5813000202178955,Margin,Framework2
2,30,0.6344000101089478,Margin,Framework2
3,40,0.6567000150680542,Margin,Framework2
4,50,0.6674000024795532,Margin,Framework2
5,60,0.6651999950408936,Margin,Framework2
0,10,0.3704000115394592,Entropy,Framework2
1,20,0.3860999941825866,Entropy,Framework2
2,30,0.4934000074863434,Entropy,Framework2
3,40,0.531499981880188,Entropy,Framework2
4,50,0.5333999991416931,Entropy,Framework2
5,60,0.5641000270843506,Entropy,Framework2
0,10,0.5336999893188477,TPCRP-Entropy,Framework2
1,20,0.6172000169754028,TPCRP-Entropy,Framework2
2,30,0.6600000262260437,TPCRP-Entropy,Framework2
3,40,0.6679999828338623,TPCRP-Entropy,Framework2
4,50,0.683899998664856,TPCRP-Entropy,Framework2
5,60,0.6934999823570251,TPCRP-Entropy,Framework2
